Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,72.74663188292631,-62.734400912979964,4123.902265094561
2,82.36808968800368,-371.68066511418255,3642.1871763245817
3,89.16685285694544,-728.2469561844729,3364.478955888508
4,95.64289268563486,739.6123665506923,3136.6679904387574
5,101.40348050162497,-545.4670794695643,2958.478333445296
6,106.87976150114689,-7309.765336213083,2806.892491023951
7,112.11475240724134,-8161.879876164258,2675.8298400400645
8,117.17215553308355,-362984.8294989042,2560.3352488919177
9,122.1681114766984,-13108.79014991398,2455.632622734126
10,127.05746675211964,-74945.69923085114,2361.136324127092
11,131.89304098703,42633.33183970908,2274.5703469639557
12,136.65521166840173,-60085.950780608,2195.30595531153
13,141.30505001375863,-22903.777006509878,2123.0663728634577
14,145.84070759614497,-193780.4656566575,2057.0388401484274
15,150.21389655179226,802284.309450017,1997.1521070060455
16,154.36767264312093,-55864.193105362145,1943.4120814502598
17,158.23495727875206,-3530741.1587623847,1895.914816544045
18,161.65794774289188,-145328.349184832,1855.7701875390228
19,164.50176708764428,-219717.70488250695,1823.6886163062559
20,167.03778546451775,-34810.396965060085,1796.00082200399
21,169.6970233379013,-6152.443569953405,1767.8565840405988
22,171.97466968805534,4174.358618530319,1744.4429493260236
23,173.48981354498545,50.36887455320496,1729.2081527438545
24,192.46560224954362,219.3321717299205,1558.7200855300437
25,210.561509512778,145.82617164717226,1424.761822301594
26,226.89565548895933,248.37978803170842,1322.193672476897
27,237.66325831654004,-78.06889293340446,1262.2901921189462
28,242.6737491709356,1151.887720383773,1236.2276555454077
29,244.60164285535365,539.6773047259056,1226.4839945388528
30,257.3809195716375,238.00373478036786,1165.5875676382461
31,259.9663926974207,208.3826571807628,1153.9953179608685
32,267.20654808097385,-182.0607647018661,1122.7269771438703
33,268.1305990867623,148.791020388798,1118.8577544740626
34,269.0807683790902,333.90126001016694,1114.9068802172799
35,271.462924555045,661.1458062924041,1105.1232889048483
36,273.6618081823928,-2710.474232623409,1096.2435788630507
37,275.38012295813155,625.7037496605218,1089.403246601105
38,278.37461525717833,179.9464060197741,1077.6844710601322
39,281.66232443496176,176.1534881671461,1065.1051772785913
40,282.91820331805894,68.49065699283089,1060.3771566537823
41,306.31590127615385,174.70785528119208,979.3810858338044
42,322.88651505121885,-1556.1629999367376,929.1190124567809
