Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,76.64016228587089,-505.7767675282374,3914.3967216690894
2,86.83454321743885,2856.6808105358323,3454.8462960043703
3,95.70309842446919,1465.5587424187272,3134.6947480155623
4,103.2880790804846,-19282.687923275225,2904.497814953386
5,110.39259561438853,-4808.267637462016,2717.573568502072
6,117.18685650724031,-12954.347399125689,2560.014057391024
7,123.82993043808528,63514.08982204693,2422.677610644378
8,130.33128303834548,-26939.543851579754,2301.8264917390197
9,136.729243613611,28541.598040128098,2194.117308567747
10,142.9092641551623,31257.808284254537,2099.234096358358
11,148.88358059226346,362428.5941555757,2014.9972133031108
12,154.45110940577553,124984.22081955614,1942.3622216389324
13,159.46889947228064,-193472.16572589736,1881.2445623740377
14,163.5280087554053,-120398.92937759263,1834.5481137040003
15,166.80074122942491,-2973911.7792744115,1798.5531586299555
16,170.2778777942251,91459.98998976129,1761.8260450869582
17,173.24282388995712,2319.9463693099106,1731.6734584663566
18,195.37920857947992,66.6575261684186,1535.4755615051051
19,217.393439704224,171.13528495249264,1379.9864448907329
20,238.85776391637964,665.4165565431888,1255.9775955410237
21,245.02874939366885,551.7506994467207,1224.346125678555
22,258.21192147755767,165.62876943885067,1161.8363640350908
23,261.3453095135186,268.58617837079834,1147.906578306055
24,268.4071074344389,617.0619450573971,1117.7051266173269
25,269.37313480383085,238.9419112389687,1113.6968065448432
26,272.41588813517353,258.24454579352897,1101.2573534299113
27,276.45324785917524,273.99153064670037,1085.1744456727072
28,280.1481878173629,-1141.3261290987741,1070.8618261545887
29,281.8773587053446,112.56632031582076,1064.29264619866
30,284.5160135513253,86.69161627285489,1054.4221966820207
31,287.43088922182096,264.80365311942734,1043.7291580324168
32,303.7363375059802,117.92670957580768,987.6987470888081
33,324.98026240249163,-3177.1968370634713,923.1329859302247
