Mode,Frequency_THz,Q_Factor,Wavelength_nm
1,74.72406016821408,-88.98701538044743,4014.7711369625654
2,83.04398544124064,206.32392509725273,3612.5433817512376
3,90.6046684499645,-1007.7378966728016,3311.087663939435
4,96.98910417353466,1003.5019707843954,3093.1309507017877
5,102.83191021378315,2564.216857082231,2917.382351220675
6,108.33950515962016,-12104.169637429432,2769.073013191265
7,113.65285177838275,-146083.99447342832,2639.617003055803
8,118.84946790606287,22564.130539322745,2524.201456561137
9,123.95257784674978,-70837.90081208634,2420.2804428231298
10,128.9923808793257,205602.14275775506,2325.7187591618645
11,133.95002513020233,-26077.601124391975,2239.641237158362
12,138.8264294490062,129145.62420100038,2160.971806238063
13,143.5729469117088,92692.29389476172,2089.530140970688
14,148.1763176122978,69445.9655121895,2024.615031836246
15,152.55942069015117,72674.56838269137,1966.446900773839
16,156.67202295555805,-985119.229113551,1914.828150812214
17,160.3686299868866,268681.3343955323,1870.6900472026923
18,163.43837846120405,202817.93246874918,1835.554187606016
19,165.9522690813704,-55508.4770259169,1807.7487078703502
20,168.01526504491116,-105.16834310470175,1785.5520444514896
21,171.32393186566625,-1287.667167514164,1751.0688479600599
22,184.61179940073168,57.722227875008585,1625.031557970996
23,202.10335288837967,138.5943393034492,1484.389030228944
24,218.66764573047107,256.955497250945,1371.9450767297276
25,235.1961831228823,584.5297261303236,1275.530903676527
26,240.8621121475182,1539.8590832702828,1245.5259041167183
27,250.98736968503346,1318.7801622541226,1195.2792699348695
28,254.3369428506078,182.76685116403098,1179.5376504789308
29,262.6529252696883,125.52211485532605,1142.191733413836
30,267.1840142528948,924.0889832387949,1122.8216659550756
31,269.1167889199147,2504.0660024388753,1114.7576530027477
32,271.1868634027618,342.72406664739236,1106.24827558275
33,274.3215600710883,304.4958969095827,1093.6070789414339
34,276.63563374667075,223.75273061867824,1084.4589901051042
35,283.12416386427486,197.16146179841667,1059.6057782754817
36,294.63697705851587,-287.39938401781853,1018.2021380854006
37,300.5267331369097,-77.24777011706868,998.2473002271324
38,318.3683419964727,-1234.0524101997942,942.3047471325644
